key,reference,identification-date,impact,probability,description,link
risk-01,R-999,2020/02/28 00:00,50,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-02,R-998,2020/02/28 00:00,50,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-03,R-000,2020/02/28 00:00,50,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-04,R-001,2020/02/28 00:00,50,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-05,R-002,2000/01/01 00:00,50,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-06,R-003,2000/01/01 00:01,50,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-07,R-004,2022/07/29 23:59,50,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-08,R-005,2022/07/29 23:58,50,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-09,R-006,2020/02/28 00:00,47.13,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-10,R-007,2020/02/28 00:00,0.01,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-11,R-008,2020/02/28 00:00,0.02,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-12,R-009,2020/02/28 00:00,99.99,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-13,R-010,2020/02/28 00:00,100,50,Lorem ipsum,http://www.lorem-ipsum.org
risk-14,R-011,2020/02/28 00:00,50,0,Lorem ipsum,http://www.lorem-ipsum.org
risk-15,R-012,2020/02/28 00:00,50,0.01,Lorem ipsum,http://www.lorem-ipsum.org
risk-16,R-013,2020/02/28 00:00,50,47.13,Lorem ipsum,http://www.lorem-ipsum.org
risk-17,R-014,2020/02/28 00:00,50,99.99,Lorem ipsum,http://www.lorem-ipsum.org
risk-18,R-015,2020/02/28 00:00,50,100,Lorem ipsum,http://www.lorem-ipsum.org
risk-19,R-016,2020/02/28 00:00,50,50,L,http://www.lorem-ipsum.org
risk-20,R-017,2020/02/28 00:00,50,50,Lo,http://www.lorem-ipsum.org
risk-21,R-018,2020/02/28 00:00,50,50,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore",http://www.lorem-ipsum.org
risk-22,R-019,2020/02/28 00:00,50,50,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore*",http://www.lorem-ipsum.org
risk-23,R-020,2020/02/28 00:00,50,50,<h1>!</h1>,http://www.lorem-ipsum.org
risk-24,R-021,2020/02/28 00:00,50,50,' or 'A'='A,http://www.lorem-ipsum.org
risk-25,R-022,2020/02/28 00:00,50,50,국민경제의 발전을,http://www.lorem-ipsum.org
risk-26,R-023,2020/02/28 00:00,50,50,العظمى واعتلاء,http://www.lorem-ipsum.org
risk-27,R-024,2020/02/28 00:00,50,50,Lorem ipsum,
risk-28,R-025,2020/02/28 00:00,50,50,Lorem ipsum,null
risk-29,R-026,2020/02/28 00:00,50,50,Lorem ipsum,ftp://a
risk-30,R-027,2020/02/28 00:00,50,50,Lorem ipsum,ftp://a.b
risk-31,R-028,2020/02/28 00:00,50,50,Lorem ipsum,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/"
risk-32,R-029,2020/02/28 00:00,50,50,Lorem ipsum,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X"
risk-33,R-030,2020/02/28 00:00,50,50,Lorem ipsum,ftp://www.lorem-ipsum.org
risk-34,R-031,2020/02/28 00:00,50,50,Lorem ipsum,http://www.lorem-ipsum.org/dolor/sit.html
risk-35,R-032,2020/02/28 00:00,50,50,Lorem ipsum,http://www.lorem-ipsum.org/dolor/sit.html#dolor
risk-36,R-033,2020/02/28 00:00,50,50,Lorem ipsum,http://example.org?a=1&b=2
risk-37,R-034,2020/02/28 00:00,50,50,Lorem ipsum,http://example.org?
risk-38,R-035,2020/02/28 00:00,50,50,Lorem ipsum,http://example.org?a
risk-39,R-036,2020/02/28 00:00,50,50,Lorem ipsum,http://example.org/a/b?a&b
risk-40,R-037,2020/02/28 00:00,50,50,Lorem ipsum,http://example.org/
risk-41,R-038,2020/02/28 00:00,50,50,Lorem ipsum,http://example.org/a
risk-42,R-039,2020/02/28 00:00,50,50,Lorem ipsum,http://example.org/a/b
risk-43,R-040,2020/02/28 00:00,50,50,Lorem ipsum,http://example.org/a/b?
risk-44,R-041,2020/02/28 00:00,50,50,Lorem ipsum,http://example.org/a/b?a&b
risk-45,R-042,2020/02/28 00:00,50,50,Lorem ipsum,https://www.lorem-ipsum.org
