key,code,moment,start-duration,end-duration,amount,type,email,link,draft-mode,key:project,key:sponsor
sponsorship-01,A-000,2020/03/03 12:00,2020/03/06 12:00,2020/04/07 12:00,EUR 60.5,FINANCIAL,null,null,true,project-01,sponsor-03
sponsorship-02,ZZZ-999,2019/05/03 12:00,2019/06/06 12:00,2019/07/07 12:00,EUR 40,IN_KIND,example@example.com,https://www.example.com,false,project-02,sponsor-04
sponsorship-03,ABC-001,2019/12/23 14:00,2020/01/24 14:00,2020/02/25 14:00,EUR 69.99,FINANCIAL,example@example.com,https://www.example.com,true,project-02,sponsor-02
sponsorship-04,CCC-002,2018/09/13 22:00,2018/10/15 22:00,2018/11/16 22:00,EUR 30,IN_KIND,example@example.com,https://www.example.com,false,project-02,sponsor-03
sponsorship-05,XYZ-003,2019/01/03 00:00,2019/02/07 08:00,2019/03/08 08:00,EUR 70,FINANCIAL,example@example.com,https://www.example.com,true,project-02,sponsor-04
sponsorship-06,HUF-999,2019/05/03 12:00,2020/06/06 12:00,2020/07/07 12:00,EUR 80,IN_KIND,example@example.com,https://www.example.com,false,project-02,sponsor-05
sponsorship-07,EEE-456,2015/04/09 21:00,2015/05/11 21:00,2015/06/12 21:00,EUR 44.99,IN_KIND,null,https://www.example.com,true,project-02,sponsor-07
sponsorship-08,JOL-521,2017/11/11 11:00,2017/12/13 22:00,2018/01/14 22:00,EUR 55,FINANCIAL,example@example.com,null,false,project-02,sponsor-09
sponsorship-09,MNO-008,2015/05/11 21:00,2022/07/29 23:00,2022/09/01 10:00,EUR 9999999999.99,FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,project-01,sponsor-07
sponsorship-10,P-019,2000/10/15 22:00,2001/12/31 23:59,2002/09/01 10:00,EUR 9999999999.98,IN_KIND,a@b.esx,ftp://a,true,project-01,sponsor-04
sponsorship-11,F-019,2000/01/14 22:00,2000/03/01 00:00,2005/02/28 04:00,EUR 123,FINANCIAL,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es,ftp://a.b,false,project-02,sponsor-09
sponsorship-12,DE-018,2000/01/23 14:00,2000/11/01 00:01,2004/03/28 12:00,EUR 444,IN_KIND,acmepassword@loremipsum.org,ftp://www.lorem-ipsum.org,true,project-02,sponsor-08
sponsorship-13,C-017,2017/12/13 22:00,2022/07/29 23:59,2023/02/28 23:00,EUR 45.43,FINANCIAL,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.org,http://www.lorem-ipsum.org/dolor/sit.html,false,project-01,sponsor-07
sponsorship-14,XYZ-015,2018/11/16 22:00,2022/07/30 00:00,2024/04/28 21:00,EUR 43.22,IN_KIND,correo_ejemplo456@hotmail.com,http://example.org?a=1&b=2,true,project-01,sponsor-06
sponsorship-15,W-014,2000/09/15 00:00,2000/11/01 00:00,2008/06/28 09:00,EUR 24.45,FINANCIAL,nombreapellido789@gmail.com,http://example.org?a,false,project-02,sponsor-02
