key,key:project,key:user-story
user-story-assign-01,project-01,user-story-01
user-story-assign-02,project-02,user-story-02
user-story-assign-03,project-05,user-story-05
user-story-assign-04,project-06,user-story-06
user-story-assign-05,project-09,user-story-08
user-story-assign-06,project-12,user-story-11
user-story-assign-07,project-13,user-story-12
user-story-assign-08,project-16,user-story-14
user-story-assign-09,project-22,user-story-17
user-story-assign-10,project-22,user-story-18
user-story-assign-11,project-23,user-story-20
user-story-assign-12,project-09,user-story-21
user-story-assign-13,project-01,user-story-22
user-story-assign-14,project-02,user-story-23
user-story-assign-15,project-05,user-story-24
user-story-assign-16,project-06,user-story-25
user-story-assign-17,project-16,user-story-05
user-story-assign-18,project-13,user-story-06
